bird_id,mark_color,L_top,L_bottom,R_top,R_bottom,territory,territory_name,name,sex,age,dist Punt dal Gal (m),banded_on
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unberingt,U,U,NULL,NULL
S228.001,yel/bla - alu/yel,yellow,black,alu,yellow,SP2402,Wehr,Johann,M,U,430,NULL
S228.002,gre/alu - red/whi,green,alu,red,white,SP2402,Wehr,Liseli,F,U,430,NULL
S228.003,bla/vio - alu/gre,black,violet,alu,green,SP2401,Muur,Glauco,M,3,20,NULL
S228.004,bla/red - alu/bla,black,red,alu,black,SP2401,Muur,Dominique,F,2,20,14.04.2025
S228.005,yel/gre - alu/blu,yellow,green,alu,blue,SP2401,Muur,Lukas,M,2,20,14.04.2025
S228.006,alu/red - gre/yel,alu,red,green,yellow,SP2409,Valletta,Curdin,M,2,1000,14.04.2025
S228.007,gre/red - red/alu,green,red,red,alu,SP2409,Valletta,Steivan,M,2,1000,14.04.2025
S228.008,alu/whi - blu/whi,alu,white,blue,white,SP2405,Engi,Nino,M,3,1640,14.04.2025
S228.009,gre/vio - alu/yel,green,violet,alu,yellow,SP2514,Tiefste Stelle,Claudio,M,3,4220,01.05.2025
S228.010,red/alu - whi/bla,red,alu,white,black,SP2513,Unterste,Bebbi,M,2,4770,01.05.2025
S228.011,yel/whi - gre/alu,yellow,white,green,alu,SP2513,Unterste,Ursina,F,2,4770,01.05.2025
S228.012,yel/bla - alu/bla,yellow,black,alu,black,SP2516,Höhli,Zoe,F,2,3050,02.05.2025
S228.013,yel/gre - alu/red,yellow,green,alu,red,US2504,US,Kai,M,2,3460,NULL
S228.014,yel/pin - alu/pin,yellow,pink,alu,pink,SP2402,Wehr,Wehrli,U,0,430,12.05.2025
S228.015,yel/red - alu/pin,yellow,red,alu,pink,SP2402,Wehr,Wehrlino,U,0,430,12.05.2025
S228.016,yel/whi - alu/pin,yellow,white,alu,pink,SP2402,Wehr,Wehrletto,U,0,430,12.05.2025
S228.017,yel/gre - alu/pin,yellow,green,alu,pink,SP2402,Wehr,Wehrluccio,U,0,430,12.05.2025
S228.018,yel/red - alu/yel,yellow,red,alu,yellow,SP2516,Höhli,Ringo,M,3,3050,23.05.2025
S228.019,yel/blu - alu/red,yellow,blue,alu,red,SP2516,Höhli,Höhlino,U,0,3050,23.05.2025
S228.020,yel/whi - alu/vio,yellow,white,alu,violet,SP2516,Höhli,Höhletto,U,0,3050,23.05.2025
S228.021,red/vio - whi/alu,red,violet,white,alu,OF2502,NULL,Fuorno,M,2,12730,27.05.2025
S228.022,gre/whi - alu/blu,green,white,alu,blue,OF2502,NULL,Fuorna,F,3,12730,27.05.2025
S228.023,alu/gre - bla/yel,alu,green,black,yellow,OF2502,NULL,Fuorneli,U,0,12730,27.05.2025
S228.024,alu/blu - bla/yel,alu,blue,black,yellow,OF2502,NULL,Fuorneletto,U,0,12730,27.05.2025
S228.025,NULL - NULL,NULL,NULL,NULL,NULL,OF2502,NULL,Fuornelino,U,0,12730,27.05.2025
S228.026,alu/red - gre/bla,alu,red,green,black,OF2502,NULL,Fuorneluccio,U,0,12730,27.05.2025
S228.027,bla/yel - alu/blu,black,yellow,alu,blue,SP2401,Muur,Fadri,U,NULL,20,31.10.2025
S228.028,alu/whi - whi/red,alu,white,white,red,SP2401,Muur,Filippo,U,NULL,20,31.10.2025
S228.029,alu/pin - whi/yel,alu,pink,white,yellow,SP2409,Valletta,Francesco,U,NULL,1000,31.10.2025
S228.030,alu/bla - whi/gre,alu,black,white,green,SP2409,Valletta,Sandro,U,NULL,1000,31.10.2025
S228.031,alu/blu - gre/blu,alu,blue,green,blue,SP2512,NULL,Mino,U,NULL,1260,31.10.2025
S228.032,bla/alu - whi/red,black,alu,white,red,SP2512,NULL,Andi,U,NULL,1260,31.10.2025
S228.033,whi/vio - pin/alu,white,violet,pink,alu,SP2401,Muur,Ambra,F,2,20,06.11.2025
S228.034,blu/pin - blu/alu,blue,pink,blue,alu,SP2401,Muur,Muurli,M,2,20,06.11.2025
S228.035,pin/yel - bla/alu,pink,yellow,black,alu,SP2401,Muur,Agostino,M,3,20,06.11.2025
S228.036,vio/pin - yel/alu,violet,pink,yellow,alu,SP2518,NULL,Livia,F,1,4420,07.11.2025
S228.037,vio/blu - vio/alu,violet,blue,violet,alu,SP2514,Tiefste Stelle,Lino,U,NULL,4220,07.11.2025
S228.038,blu/alu - pin/vio,blue,alu,pink,violet,SP2515,kleine Eier,Furia,U,2,3750,12.11.2025
S228.039,red/whi - red/alu,red,white,red,alu,SP2515,kleine Eier,Carlo,U,NULL,3750,12.11.2025
S228.050,alu/yel - red/red,alu,yellow,red,red,US2530,Laschadura,Alice,F,3,US,13.05.2026
S228.051,red/red - alu/blu,red,red,alu,blue,US2530,Laschadura,JV1,U,0,US,16.05.2026
S228.052,red/red - vio/alu,red,red,violet,alu,US2530,Laschadura,JV2,U,0,US,16.05.2026
S228.053,red/red - yel/alu,red,red,yellow,alu,US2530,Laschadura,JV3,U,0,US,16.05.2026
S228.051,vio/alu - vio/vio,violet,alu,violet,violet,US2582,Holzbrücke,Iris,F,2,US,13.05.2026
